family,route,page_title,section_index,section_id,section_title,selected_option,asset_folder,asset_filename,asset_public_path,scene,alt,description
foundation,/,Home,1,topic-immigration-pathways-overview,Immigration pathways overview,a,assets/images/sections/home/section-01-immigration-pathways-overview,home-section-01-immigration-pathways-overview-sunrise-amazonas-manaus-northern-brazil-bg-primary.webp,/assets/images/sections/home/section-01-immigration-pathways-overview/home-section-01-immigration-pathways-overview-sunrise-amazonas-manaus-northern-brazil-bg-primary.webp,the sunrise landscape of Teatro Amazonas in Manaus,the sunrise landscape of Teatro Amazonas in Manaus.,Background image of the sunrise landscape of Teatro Amazonas in Manaus for Brazil immigration and relocation planning.
foundation,/,Home,2,topic-consultation-flow,Consultation flow,a,assets/images/sections/home/section-02-consultation-flow,home-section-02-consultation-flow-paulo-skyline-avenida-paulista-brazil-bg-primary.webp,/assets/images/sections/home/section-02-consultation-flow/home-section-02-consultation-flow-paulo-skyline-avenida-paulista-brazil-bg-primary.webp,Sao Paulo,Sao Paulo.,Background image of Sao Paulo for Brazil immigration and relocation planning.
foundation,/,Home,3,topic-trust-markers,Trust markers,a,assets/images/sections/home/section-03-trust-markers,home-section-03-trust-markers-streets-cathedral-canela-grande-brazil-bg-primary.webp,/assets/images/sections/home/section-03-trust-markers/home-section-03-trust-markers-streets-cathedral-canela-grande-brazil-bg-primary.webp,the architecture and streets of Cathedral of Canela,the architecture and streets of Cathedral of Canela.,Background image of the architecture and streets of Cathedral of Canela for Brazil immigration and relocation planning.
foundation,/,Home,4,topic-nationwide-online-support,Nationwide online support,a,assets/images/sections/home/section-04-nationwide-online-support,home-section-04-nationwide-online-support-coastline-rosa-santa-catarina-brazil-bg-primary.webp,/assets/images/sections/home/section-04-nationwide-online-support/home-section-04-nationwide-online-support-coastline-rosa-santa-catarina-brazil-bg-primary.webp,the bay and coastline of Praia do Rosa,the bay and coastline of Praia do Rosa.,Background image of the bay and coastline of Praia do Rosa for Brazil immigration and relocation planning.
foundation,/,Home,5,topic-service-categories,Service categories,a,assets/images/sections/home/section-05-service-categories,home-section-05-service-categories-sunrise-marajo-island-riverfront-brazil-bg-primary.webp,/assets/images/sections/home/section-05-service-categories/home-section-05-service-categories-sunrise-marajo-island-riverfront-brazil-bg-primary.webp,the sunrise landscape of Marajo Island riverfront,the sunrise landscape of Marajo Island riverfront.,Background image of the sunrise landscape of Marajo Island riverfront for Brazil immigration and relocation planning.
foundation,/,Home,6,topic-official-resource-orientation,Official-resource orientation,a,assets/images/sections/home/section-06-official-resource-orientation,home-section-06-official-resource-orientation-cerrado-aguas-emendadas-ecological-brazil-bg-primary.webp,/assets/images/sections/home/section-06-official-resource-orientation/home-section-06-official-resource-orientation-cerrado-aguas-emendadas-ecological-brazil-bg-primary.webp,the cerrado landscape of Aguas Emendadas,the cerrado landscape of Aguas Emendadas.,Background image of the cerrado landscape of Aguas Emendadas for Brazil immigration and relocation planning.
foundation,/,Home,7,topic-process-and-compliance-framing,Process and compliance framing,a,assets/images/sections/home/section-07-process-and-compliance-framing,home-section-07-process-and-compliance-framing-canyons-lake-scenery-capitolio-brazil-bg-primary.webp,/assets/images/sections/home/section-07-process-and-compliance-framing/home-section-07-process-and-compliance-framing-canyons-lake-scenery-capitolio-brazil-bg-primary.webp,the canyons and lake scenery of Capitolio,the canyons and lake scenery of Capitolio.,Background image of the canyons and lake scenery of Capitolio for Brazil immigration and relocation planning.
about,/about/,About,1,section-1-overview,Overview,a,assets/images/sections/about/section-01-overview,about-section-01-overview-cliffs-valleys-chapada-guimaraes-brazil-bg-primary.webp,/assets/images/sections/about/section-01-overview/about-section-01-overview-cliffs-valleys-chapada-guimaraes-brazil-bg-primary.webp,the cliffs and valleys of Chapada dos Guimaraes,the cliffs and valleys of Chapada dos Guimaraes.,Background image of the cliffs and valleys of Chapada dos Guimaraes for Brazil immigration and relocation planning.
about,/about/,About,2,section-2-explore-the-company,Explore the company,a,assets/images/sections/about/section-02-explore-the-company,about-section-02-explore-the-company-fortaleza-beira-coastline-ceara-brazil-bg-primary.webp,/assets/images/sections/about/section-02-explore-the-company/about-section-02-explore-the-company-fortaleza-beira-coastline-ceara-brazil-bg-primary.webp,Fortaleza and the Beira Mar coastline,Fortaleza and the Beira Mar coastline.,Background image of Fortaleza and the Beira Mar coastline for Brazil immigration and relocation planning.
about,/about/,About,3,section-3-how-this-family-is-organized,How this family is organized,a,assets/images/sections/about/section-03-how-this-family-is-organized,about-section-03-how-this-family-is-organized-islands-waterways-anavilhanas-archipelago-brazil-bg-primary.webp,/assets/images/sections/about/section-03-how-this-family-is-organized/about-section-03-how-this-family-is-organized-islands-waterways-anavilhanas-archipelago-brazil-bg-primary.webp,the islands and waterways of Anavilhanas,the islands and waterways of Anavilhanas.,Background image of the islands and waterways of Anavilhanas for Brazil immigration and relocation planning.
about,/about/about/,About,1,section-1-overview,Overview,a,assets/images/sections/about/about/section-01-overview,about-section-01-overview-waterfront-skyline-aguas-emendadas-brazil-bg-primary.webp,/assets/images/sections/about/about/section-01-overview/about-section-01-overview-waterfront-skyline-aguas-emendadas-brazil-bg-primary.webp,the waterfront and skyline of Aguas Emendadas ecological station,the waterfront and skyline of Aguas Emendadas ecological station.,Background image of the waterfront and skyline of Aguas Emendadas ecological station for Brazil immigration and relocation planning.
about,/about/about/,About,2,section-2-why-we-exist,Why We Exist,a,assets/images/sections/about/about/section-02-why-we-exist,about-section-02-why-we-exist-beaches-alter-chao-tapajos-brazil-bg-primary.webp,/assets/images/sections/about/about/section-02-why-we-exist/about-section-02-why-we-exist-beaches-alter-chao-tapajos-brazil-bg-primary.webp,the beaches of Alter do Chao on the Tapajos River,the beaches of Alter do Chao on the Tapajos River.,Background image of the beaches of Alter do Chao on the Tapajos River for Brazil immigration and relocation planning.
about,/about/about/,About,3,section-3-what-we-do,What We Do,a,assets/images/sections/about/about/section-03-what-we-do,about-section-03-what-we-do-botanical-garden-curitiba-parana-brazil-bg-primary.webp,/assets/images/sections/about/about/section-03-what-we-do/about-section-03-what-we-do-botanical-garden-curitiba-parana-brazil-bg-primary.webp,the Botanical Garden of Curitiba,the Botanical Garden of Curitiba.,Background image of the Botanical Garden of Curitiba for Brazil immigration and relocation planning.
about,/about/about/,About,4,section-4-how-we-work,How We Work,a,assets/images/sections/about/about/section-04-how-we-work,about-section-04-how-we-work-guaiba-waterfront-porto-alegre-brazil-bg-primary.webp,/assets/images/sections/about/about/section-04-how-we-work/about-section-04-how-we-work-guaiba-waterfront-porto-alegre-brazil-bg-primary.webp,the Guaiba waterfront in Porto Alegre,the Guaiba waterfront in Porto Alegre.,Background image of the Guaiba waterfront in Porto Alegre for Brazil immigration and relocation planning.
about,/about/about/,About,5,section-5-our-focus-on-brazil,Our Focus on Brazil,a,assets/images/sections/about/about/section-05-our-focus-on-brazil,about-section-05-our-focus-on-brazil-paraty-waterfront-janeiro-southeast-brazil-bg-primary.webp,/assets/images/sections/about/about/section-05-our-focus-on-brazil/about-section-05-our-focus-on-brazil-paraty-waterfront-janeiro-southeast-brazil-bg-primary.webp,Paraty,Paraty.,Background image of Paraty for Brazil immigration and relocation planning.
