old,new,action,reason
http://immigratetobrazil.com/*,https://immigratetobrazil.com/{same path and query},KEEP EXISTING 301,Observed protocol normalization
https://www.immigratetobrazil.com/*,https://immigratetobrazil.com/{same path and query},PROPOSED EDGE 301,Consolidate host variants; preserve path/query; verify deep links
https://immigratetobrazil.com/sitemap.html,https://immigratetobrazil.com/sitemap,KEEP EXISTING 308; UPDATE CANONICAL AND LINKS,Observed Cloudflare extension normalization
https://immigratetobrazil.com/services/visas/educational/,https://immigratetobrazil.com/services/visas/student/,CONDITIONAL ONLY — no redirect until evidence review,Study-based visa assistance
https://immigratetobrazil.com/pt-br/services/visas/educational/,https://immigratetobrazil.com/pt-br/services/visas/student/,CONDITIONAL ONLY — no redirect until evidence review,Study-based visa assistance
https://immigratetobrazil.com/services/residencies/educational/,https://immigratetobrazil.com/services/residencies/study/,CONDITIONAL ONLY — no redirect until evidence review,Study-based residence
https://immigratetobrazil.com/pt-br/services/residencies/educational/,https://immigratetobrazil.com/pt-br/services/residencies/study/,CONDITIONAL ONLY — no redirect until evidence review,Study-based residence
https://immigratetobrazil.com/about/lawyer/,https://immigratetobrazil.com/about/profile/,CONDITIONAL ONLY — no redirect until evidence review,Professional biography
https://immigratetobrazil.com/pt-br/about/lawyer/,https://immigratetobrazil.com/pt-br/about/profile/,CONDITIONAL ONLY — no redirect until evidence review,Professional biography
https://immigratetobrazil.com/about/about/,https://immigratetobrazil.com/about/profile/,CONDITIONAL ONLY — no redirect until evidence review,Professional biography
https://immigratetobrazil.com/pt-br/about/about/,https://immigratetobrazil.com/pt-br/about/profile/,CONDITIONAL ONLY — no redirect until evidence review,Professional biography
https://immigratetobrazil.com/about/atlas/,https://immigratetobrazil.com/about/profile/,CONDITIONAL ONLY — no redirect until evidence review,Professional biography
https://immigratetobrazil.com/pt-br/about/atlas/,https://immigratetobrazil.com/pt-br/about/profile/,CONDITIONAL ONLY — no redirect until evidence review,Professional biography
https://immigratetobrazil.com/process/refund/,https://immigratetobrazil.com/legal/refund/,CONDITIONAL ONLY — no redirect until evidence review,Service refund conditions
