page_a,page_b,overlapping_intent,overlapping_query,severity,evidence,solution,precondition
https://immigratetobrazil.com/services/visas/educational/,https://immigratetobrazil.com/services/visas/student/,Study-based visa assistance,Brazil student visa,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/services/visas/educational/,https://immigratetobrazil.com/pt-br/services/visas/student/,Study-based visa assistance,Brazil student visa,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/services/residencies/educational/,https://immigratetobrazil.com/services/residencies/study/,Study-based residence,Brazil student residence,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/services/residencies/educational/,https://immigratetobrazil.com/pt-br/services/residencies/study/,Study-based residence,Brazil student residence,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/about/lawyer/,https://immigratetobrazil.com/about/profile/,Professional biography,Monique Fernandes lawyer,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/about/lawyer/,https://immigratetobrazil.com/pt-br/about/profile/,Professional biography,Monique Fernandes lawyer,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/about/about/,https://immigratetobrazil.com/about/profile/,Professional biography,Monique Fernandes profile,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/about/about/,https://immigratetobrazil.com/pt-br/about/profile/,Professional biography,Monique Fernandes profile,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/about/atlas/,https://immigratetobrazil.com/about/profile/,Professional biography,Monique Fernandes profile,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
https://immigratetobrazil.com/pt-br/about/atlas/,https://immigratetobrazil.com/pt-br/about/profile/,Professional biography,Monique Fernandes profile,HIGH,OBSERVED content overlap; INFERENCE query competition,Differentiate pending evidence; consolidate only if unique value cannot be established,"Query×page performance, incoming links, conversion and source-content review"
