url,file,title,description,h1,canonical,robots,metadata_status,content_status,internal_links_status,schema_status,crawl_index_status,deployment_status,notes
https://immigratetobrazil.com/,index.html,Brazil Immigration Lawyer | Monique Fernandes,"Brazil immigration legal support from Monique Fernandes. Discuss visa, residence or citizenship plans in English or Portuguese and request a consultation.",Brazil Immigration Lawyer Monique Fernandes,https://immigratetobrazil.com,"index,follow",APPLIED,APPLIED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/404.html,404.html,Page Not Found | Monique Fernandes | Immigrate to Brazil,"This page helps you get back to the right Monique Fernandes page if a legal notice, service page, or consultation route cannot be found.",Page Not Found,,"noindex,follow",PRESERVED,PRESERVED,PRESERVED,PRESENT,NOINDEX,NOT DEPLOYED BY CODEX,Noindex utility/error/legal-support route where applicable
https://immigratetobrazil.com/about/,about/index.html,About Immigrate to Brazil | Immigrate to Brazil,"Explore the pages that introduce Monique Fernandes, explain how her Brazil immigration practice works, and show what clients can expect before booking.",About Immigrate to Brazil,https://immigratetobrazil.com/about/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/about/about/,about/about/index.html,Meet Monique Fernandes,"Monique Fernandes is the Brazilian immigration attorney behind Immigrate to Brazil, helping clients navigate Brazilian immigration law with greater clarity, confidence, and practical next steps.",Meet Monique Fernandes,https://immigratetobrazil.com/about/about/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/about/atlas/,about/atlas/index.html,Monique Fernandes: Practice Overview,"Meet Monique Fernandes, the OAB-registered Brazilian immigration attorney behind Immigrate to Brazil, and explore her story, standards, services, and public client proof in one place.",Monique Fernandes: Practice Overview,https://immigratetobrazil.com/about/atlas/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/about/clients/,about/clients/index.html,Who Monique Fernandes Helps | Monique Fernandes,"Monique Fernandes works with immigrants, families, companies, entrepreneurs, remote professionals, and cross-border clients who need attorney-led guidance for Brazil-related immigration decisions.",Who Monique Fernandes Helps,https://immigratetobrazil.com/about/clients/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/about/ethics/,about/ethics/index.html,Ethics | Monique Fernandes,"Monique Fernandes grounds her immigration practice in honesty, confidentiality, dignity, and clear professional boundaries.",Ethics,https://immigratetobrazil.com/about/ethics/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/about/lawyer/,about/lawyer/index.html,Monique Fernandes: Professional Registration and Legal Practice,"A formal look at Monique Fernandes&#x27; legal profile, professional responsibility, and immigration-first approach for clients who need attorney-led guidance connected to Brazil.",Monique Fernandes: Professional Registration and Legal Practice,https://immigratetobrazil.com/about/lawyer/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/about/mission/,about/mission/index.html,Mission | Monique Fernandes,"Monique Fernandes&#x27; mission is to empower immigrants with clear legal guidance, protect dignity through lawful process, and promote Brazil with honesty and care.",Mission,https://immigratetobrazil.com/about/mission/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
https://immigratetobrazil.com/about/philosophy/,about/philosophy/index.html,Philosophy | Monique Fernandes,"Monique Fernandes builds immigration strategy around clarity before action, structure before speed, and documentation that supports the route.",Philosophy,https://immigratetobrazil.com/about/philosophy/,"index,follow",APPLIED,PRESERVED,APPLIED,PRESENT,INDEXABLE,NOT DEPLOYED BY CODEX,
