url,status,next_action,dossier
https://immigratetobrazil.com/countries/afghanistan/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0081-countries--afghanistan.md,pages/0081-countries--afghanistan.md
https://immigratetobrazil.com/countries/albania/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0082-countries--albania.md,pages/0082-countries--albania.md
https://immigratetobrazil.com/countries/algeria/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0083-countries--algeria.md,pages/0083-countries--algeria.md
https://immigratetobrazil.com/countries/andorra/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0084-countries--andorra.md,pages/0084-countries--andorra.md
https://immigratetobrazil.com/countries/angola/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0085-countries--angola.md,pages/0085-countries--angola.md
https://immigratetobrazil.com/countries/antigua-and-barbuda/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0086-countries--antigua-and-barbuda.md,pages/0086-countries--antigua-and-barbuda.md
https://immigratetobrazil.com/countries/argentina/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0087-countries--argentina.md,pages/0087-countries--argentina.md
https://immigratetobrazil.com/countries/armenia/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0088-countries--armenia.md,pages/0088-countries--armenia.md
https://immigratetobrazil.com/countries/australia/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0089-countries--australia.md,pages/0089-countries--australia.md
https://immigratetobrazil.com/countries/austria/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0090-countries--austria.md,pages/0090-countries--austria.md
https://immigratetobrazil.com/countries/azerbaijan/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0091-countries--azerbaijan.md,pages/0091-countries--azerbaijan.md
https://immigratetobrazil.com/countries/bahamas/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0092-countries--bahamas.md,pages/0092-countries--bahamas.md
https://immigratetobrazil.com/countries/bahrain/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0093-countries--bahrain.md,pages/0093-countries--bahrain.md
https://immigratetobrazil.com/countries/bangladesh/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0094-countries--bangladesh.md,pages/0094-countries--bangladesh.md
https://immigratetobrazil.com/countries/barbados/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0095-countries--barbados.md,pages/0095-countries--barbados.md
https://immigratetobrazil.com/countries/belarus/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0096-countries--belarus.md,pages/0096-countries--belarus.md
https://immigratetobrazil.com/countries/belgium/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0097-countries--belgium.md,pages/0097-countries--belgium.md
https://immigratetobrazil.com/countries/belize/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0098-countries--belize.md,pages/0098-countries--belize.md
https://immigratetobrazil.com/countries/benin/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0099-countries--benin.md,pages/0099-countries--benin.md
https://immigratetobrazil.com/countries/bhutan/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0100-countries--bhutan.md,pages/0100-countries--bhutan.md
https://immigratetobrazil.com/countries/bolivia/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0101-countries--bolivia.md,pages/0101-countries--bolivia.md
https://immigratetobrazil.com/countries/bosnia-and-herzegovina/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0102-countries--bosnia-and-herzegovina.md,pages/0102-countries--bosnia-and-herzegovina.md
https://immigratetobrazil.com/countries/botswana/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0103-countries--botswana.md,pages/0103-countries--botswana.md
https://immigratetobrazil.com/countries/brazil/,CONSOLIDATION REVIEW REQUIRED,Complete the page-specific VERIFY and ADD instructions in pages/0104-countries--brazil.md,pages/0104-countries--brazil.md
https://immigratetobrazil.com/countries/brunei/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0105-countries--brunei.md,pages/0105-countries--brunei.md
https://immigratetobrazil.com/countries/bulgaria/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0106-countries--bulgaria.md,pages/0106-countries--bulgaria.md
https://immigratetobrazil.com/countries/burkina-faso/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0107-countries--burkina-faso.md,pages/0107-countries--burkina-faso.md
https://immigratetobrazil.com/countries/burundi/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0108-countries--burundi.md,pages/0108-countries--burundi.md
https://immigratetobrazil.com/countries/cabo-verde/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0109-countries--cabo-verde.md,pages/0109-countries--cabo-verde.md
https://immigratetobrazil.com/countries/cambodia/,COUNTRY EVIDENCE REQUIRED — conditional editorial draft,Complete the page-specific VERIFY and ADD instructions in pages/0110-countries--cambodia.md,pages/0110-countries--cambodia.md
